cDPW        Dispel Magic
cSWWS       Summon Ice Elemental
cWSSW       Summon Fire Elemental
cw          Magic Mirror
DFFDD       Lightning Bolt
DFPW        Cure Heavy Wounds
DFW         Cure Light Wounds
DFWFd       Blindness
DPP         Amnesia
DSF         Confusion
DSFFFc      Disease
DWFFd       Blindness
DWSSSP      Delay Effect
DWWFWD      Poison
FFF         Paralysis
FPSFW       Summon Troll
FSSDD       Fireball
P           Shield
PDWP        Remove Enchantment
PPws        Invisibility
PSDD        Charm Monster
PSDF        Charm Person
PSFW        Summon Ogre
PWPFSSSD    Finger of Death
PWPWWc      Haste
SD          Magic Missile
SFW         Summon Goblin
SPFP        Anti Spell
SPFPSDW     Permanency
SPPc        Time Stop
SPPFD       Time Stop
SSFP        Resist Cold
SWD         Fear
SWWc        Fire Storm
WDDc        Clap of Lightning
WFP         Cause Light Wounds
WFPSFW      Summon Giant
WPFD        Cause Heavy Wounds
WPP         Counter Spell
WSSc        Ice Storm
WWFP        Resist Heat
WWP         Protection
WWS         Counter Spell
